dt,channel,username,message
2021-04-18 14:30:00,pokimane :pokiSmug,solar_g1,kitchen_knife: 󠀀 󠀀
2021-04-18 14:30:00,pokimane,nik330609,such a good round
2021-04-18 14:30:00,pokimane,iamgia1,go team peepoCheer
2021-04-18 14:30:03,pokimane,amber_the_bearrr,Heyyyyy Pokiiiii <3
2021-04-18 14:30:03,pokimane,nussi_123,OKI doki poki.
2021-04-18 14:30:03,pokimane,mohdamro,this match is on fire
2021-04-18 14:30:04,pokimane,shroom69247,!title
2021-04-18 14:30:04,pokimane,fossabot,"@Shroom69247, OTV VALO TOURNAMENT DAY 2 - TEAM POKI FT JACKSEPTICEYE, SYD, SEAN & ABE | !DONATE"
2021-04-18 14:30:06,pokimane,wisteria472,Suck my black hole.
2021-04-18 14:30:07,pokimane,communistickermit,pokiKnife
